,Property_name,Location,Rating,Review,Type_of_stay,Stay_duration_and_group_size,price,Taxes_and_charges_inr
424,The Indigo Stays near Assi Ghat,Varanasi,9.0,,,"5 nights, 8 adults, 2 children","₹35,000","4,400"
425,Hotel Premium SAMA Palace Near Kashi Vishwanath Temple - A Top Rated Hotel,Varanasi,,,5×Double Room5 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹174,975","20,997"
426,Pretty Garden View Apartment 3BHK Furnished Flat near Kashi Vishwanath Temple,Varanasi,7.4,Good,,"5 nights, 6 adults, 4 children","₹30,000","3,600"
427,Usha Residency,Varanasi,7.7,Good,1×Deluxe Double Room with Balcony1 extra-large double bedFree cancellation,"5 nights, 6 adults, 4 children","₹25,628","3,075"
428,Krishna Villa,Varanasi,6.7,Review score,"4×Triple Room with Private Bathroom8 beds (4 singles, 4 large doubles)Free cancellation","5 nights, 6 adults, 4 children","₹34,515","4,142"
429,"Itsy Hotels Kashi Grand, BHU",Varanasi,7.6,Good,4×Standard Double Room4 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹30,748","3,690"
430,Rudra Stays,Varanasi,,Exceptional,,"5 nights, 6 adults, 4 children","₹20,196","2,424"
431,Travelling Troopers Homestay,Varanasi,8.0,Very good,4×Deluxe Room4 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹32,000","3,840"
432,Homestay Kashika,Varanasi,7.7,Good,5×Superior Double Room5 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹21,851","2,622"
433,Treebo Golden Kashi,Varanasi,7.1,Good,4×Standard Double Room4 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹30,353","3,642"
434,Rudra_HomeStay,Varanasi,7.8,Good,"1×Two-Bedroom HouseEntire holiday home•2 bedrooms•2 living rooms•2 bathrooms•1 kitchen•28m²3 beds (2 extra-large doubles, 1 sofa bed)Free cancellation","5 nights, 6 adults, 4 children","₹18,792","2,255"
435,Super Hotel O BLW Kakarmatta Near Banaras Junction,Varanasi,,Exceptional,4×Classic Triple Room4 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹28,241","3,410"
436,Super Townhouse Balua Road Pahadiya,Varanasi,8.0,Very good,4×Classic Triple Room4 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹32,916","4,800"
437,Treebo Little Budhha,Varanasi,7.5,Good,4×Deluxe Double RoomChoice of beds: extra-large double or singlesFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹31,776","3,813"
438,Shri Kailash Pati Guest House- Opposite Kashi Vishwanath Temple,Varanasi,7.8,Good,2×Deluxe King Room4 double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹42,492","5,099"
439,Treebo Om Shree Banaras,Varanasi,7.5,Good,4×Economy Double Room4 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹35,267","4,232"
440,Coco Cabana,Varanasi,9.0,Superb,"4×Suite4 private suites•4 bedrooms•4 living rooms•4 bathrooms8 beds (4 extra-large doubles, 4 sofa beds)Free cancellation","5 nights, 6 adults, 4 children","₹102,975","12,357"
441,Perfectstayz Premium Varanasi,Varanasi,8.4,Very good,4×Deluxe Double Room4 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹56,180","6,742"
442,RK appartment 3 bedroom with kitchen and balcony,Varanasi,9.1,Superb,,"5 nights, 6 adults, 4 children","₹30,875","3,705"
443,Alokah Kashi,Varanasi,8.8,Fabulous,5×Deluxe Double Room with Balcony5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹57,488","6,899"
444,HOTEL SHIV # DARSHAN PREMIUM Near Kashi Vishwanath Temple - Kashi Vishwanath temple - Free Public Parking and Wifi Facilities - Air Conditioning Room,Varanasi,,Exceptional,2×Double Room2 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹34,980","4,198"
445,HOTEL SUNAYANA # GUEST HOUSE Near Kashi Vishwanath Temple - Free Public Parking and Wifi Facilities - Air Conditioning Room - Best Hotel,Varanasi,8.9,Fabulous,2×Double Room2 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹30,980","3,718"
446,Hotel Kashi inn,Varanasi,9.5,Exceptional,4×Double Room4 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹21,440","2,573"
447,Hotel O Mahaveer Palace,Varanasi,8.0,Very good,4×Classic Triple Room4 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹21,159","3,389"
448,Super Hotel O Sudhirpur near Phonix Hospital,Varanasi,9.2,Superb,4×Classic Triple Room4 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹30,668","3,701"
449,The White Canyon Hotel,Varanasi,7.5,Good,2×Deluxe Double Room2 extra-large double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹47,100","5,652"
450,Banaras Paying Guest House Assi Ghat,Varanasi,8.5,Very good,1×Single Room with Shared Shower and Toilet1 single bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹42,091","5,901"
451,Pretty Garden View Apartment 3BHK Furnished Flat near Kashi Vishwanath Temple,Varanasi,7.4,Good,,"5 nights, 9 adults, 1 child","₹30,000","3,600"
452,RK appartment 3 bedroom with kitchen and balcony,Varanasi,9.1,Superb,,"5 nights, 9 adults, 1 child","₹24,700","2,964"
453,"Itsy Hotels Kashi Grand, BHU",Varanasi,7.6,Good,5×Standard Double Room5 extra-large double bedsFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹37,017","4,442"
454,Homestay Kashika,Varanasi,7.7,Good,5×Superior Double Room5 large double bedsFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹21,851","2,622"
455,Rudra Stays,Varanasi,,Exceptional,,"5 nights, 9 adults, 1 child","₹20,196","2,424"
456,Rudra_HomeStay,Varanasi,7.8,Good,"1×Two-Bedroom HouseEntire holiday home•2 bedrooms•2 living rooms•2 bathrooms•1 kitchen•28m²3 beds (2 extra-large doubles, 1 sofa bed)Free cancellation","5 nights, 9 adults, 1 child","₹18,792","2,255"
457,Coco Cabana,Varanasi,9.0,Superb,"4×Suite4 private suites•4 bedrooms•4 living rooms•4 bathrooms8 beds (4 extra-large doubles, 4 sofa beds)Free stay for your childFree cancellation","5 nights, 9 adults, 1 child","₹102,975","12,357"
458,Shri Kailash Pati Guest House- Opposite Kashi Vishwanath Temple,Varanasi,7.8,Good,2×Deluxe King Room4 double bedsFree cancellation,"5 nights, 9 adults, 1 child","₹42,492","5,099"
459,Lake view,Varanasi,,,5×Double Room25 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹28,000","3,360"
460,Shiv Vilas,Varanasi,,,5×Double Room with Private Bathroom5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹50,000","6,000"
461,Hotel Shree Niwas,Varanasi,,,5×Deluxe Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹62,500","7,500"
462,Hotel Shri Vishwanath,Varanasi,,,5×Deluxe Room (2 Adults + 1 Child)5 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹67,500","8,100"
463,Hotel Valencia Palace,Varanasi,,Exceptional,5×Budget Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹10,688","1,283"
464,Minimalist - The Varanasi Edit,Varanasi,,,5×King Room5 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹150,000","18,000"
465,Satyam shivam Shundaram,Varanasi,8.0,Very good,,"5 nights, 9 adults, 1 child","₹12,750","1,530"
466,Hotel Green park,Varanasi,8.6,Fabulous,5×Standard Double Room5 double bedsFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹24,500","2,940"
467,Konamae,Varanasi,9.6,Exceptional,,"5 nights, 9 adults, 1 child","₹26,000","3,120"
468,Nature Homestay,Varanasi,9.1,Superb,"1×Double Room4 beds (3 singles, 1 large double)Free cancellationNo prepayment needed– pay at the property","5 nights, 9 adults, 1 child","₹18,825","2,259"
469,R.K.Homestay,Varanasi,8.2,Very good,"1×Double Room2 beds (1 single, 1 double)Free cancellation","5 nights, 9 adults, 1 child","₹21,485","2,578"
470,Kamaree-7BHK,Varanasi,,Exceptional,,"5 nights, 9 adults, 1 child","₹21,600","2,592"
471,Paridhi,Varanasi,8.8,Fabulous,,"5 nights, 9 adults, 1 child","₹31,000","4,720"
472,Pipewalas house,Varanasi,6.5,Review score,2×Quadruple Room4 double beds • Free cot always availableFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹16,380","1,966"
473,KASHI Darshan,Varanasi,4.3,Review score,1×Family RoomMultiple bed typesFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹14,911","1,789"
474,Usha Residency,Varanasi,7.7,Good,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•1 bathroom•1 kitchen•65m²2 double bedsFree cancellation,"5 nights, 9 adults, 1 child","₹32,130","3,856"
475,Rudra Stays,Varanasi,,Exceptional,,"5 nights, 9 adults, 1 child","₹20,196","2,424"
476,Homestay Kashika,Varanasi,7.7,Good,5×Superior Double Room5 large double bedsFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹21,851","2,622"
477,Treebo Raj Palace,Varanasi,8.1,Very good,5×Standard Room with BalconyChoice of beds: large double or singlesFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹37,928","4,551"
478,HOTEL PSR Stay Near Kashi Vishwanath Temple - Fully Air Conditioned Room - A Premium Guest House In Varanasi,Varanasi,,,5×Double Room5 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹39,975","4,797"
479,Treebo Golden Kashi,Varanasi,7.1,Good,5×Standard Double Room5 extra-large double bedsFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹37,033","4,444"
480,Coco Cabana,Varanasi,9.0,Superb,"4×Suite4 private suites•4 bedrooms•4 living rooms•4 bathrooms8 beds (4 extra-large doubles, 4 sofa beds)Free stay for your childFree cancellation","5 nights, 9 adults, 1 child","₹102,975","12,357"
481,RK appartment 3 bedroom with kitchen and balcony,Varanasi,9.1,Superb,,"5 nights, 9 adults, 1 child","₹24,700","2,964"
482,Hotel Valencia Palace,Varanasi,,Exceptional,5×Budget Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹10,688","1,283"
483,Rudra_HomeStay,Varanasi,7.8,Good,"1×Two-Bedroom HouseEntire holiday home•2 bedrooms•2 living rooms•2 bathrooms•1 kitchen•28m²3 beds (2 extra-large doubles, 1 sofa bed)Free cancellation","5 nights, 9 adults, 1 child","₹18,792","2,255"
484,Hotel Green park,Varanasi,8.6,Fabulous,5×Standard Double Room5 double bedsFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹24,500","2,940"
485,Hotel O JMD Palace,Varanasi,,,5×Classic Triple Room5 large double bedsFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹22,058","3,497"
486,Nyay Vatika inn,Varanasi,8.5,Very good,,"5 nights, 9 adults, 1 child","₹12,375","1,485"
487,Konamae,Varanasi,9.6,Exceptional,,"5 nights, 9 adults, 1 child","₹26,000","3,120"
488,HOTEL VRRINDA # RESIDENCY Near Shree Kashi Vishwanath Temple - A Top Rated Hotel,Varanasi,,,5×Deluxe Double Room5 extra-large double bedsFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹29,376","3,525"
489,Nature Homestay,Varanasi,9.1,Superb,"1×Double Room4 beds (3 singles, 1 large double)Free cancellationNo prepayment needed– pay at the property","5 nights, 9 adults, 1 child","₹18,825","2,259"
490,Ramaya Homestay,Varanasi,8.3,Very good,1×Double or Twin Room1 extra-large double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹20,000","2,400"
491,Usha Residency,Varanasi,7.7,Good,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•1 bathroom•1 kitchen•65m²2 double bedsFree cancellation,"5 nights, 9 adults, 1 child","₹32,130","3,856"
492,Pretty Garden View Apartment 3BHK Furnished Flat near Kashi Vishwanath Temple,Varanasi,7.4,Good,,"5 nights, 9 adults, 1 child","₹30,000","3,600"
493,Kamaree-7BHK,Varanasi,,Exceptional,,"5 nights, 9 adults, 1 child","₹21,600","2,592"
494,Pipewalas house,Varanasi,6.5,Review score,2×Quadruple Room4 double beds • Free cot always availableFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹16,380","1,966"
495,KASHI Darshan,Varanasi,4.3,Review score,1×Family RoomMultiple bed typesFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹14,911","1,789"
496,The Kashika Homestay,Varanasi,8.5,Very good,5×One-Bedroom Apartment5 entire apartments•5 bedrooms•5 bathrooms5 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹23,354","2,802"
497,Satyam shivam Shundaram,Varanasi,8.0,Very good,,"5 nights, 9 adults, 1 child","₹12,750","1,530"
498,HOTEL SUNAYANA # GUEST HOUSE Near Kashi Vishwanath Temple - Free Public Parking and Wifi Facilities - Air Conditioning Room - Best Hotel,Varanasi,8.9,Fabulous,5×Double Room5 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹34,975","4,197"
499,Super Hotel O BLW Kakarmatta Near Banaras Junction,Varanasi,,Exceptional,5×Classic Triple Room5 large double bedsFree stay for your childFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹32,904","3,969"
500,"VILLA M - LAGOON 4 Calangute 3BHK Pool Facing, Breakfast Included",Old Goa,9.3,Superb,,"5 nights, 10 adults","₹40,500","7,290"
501,"TATA Rio De Goa - Resort style apt,6 KM from Airport",Chicalim,7.1,Good,"2×Two-Bedroom Apartment2 entire apartments•6 bedrooms•2 living rooms•4 bathrooms•2 kitchens8 beds (4 doubles, 2 sofa beds, 2 futons)Free cancellation","5 nights, 10 adults","₹45,360","6,643"
502,Ronnie's Studio Apartment,Arpora,7.4,Good,"2×Apartment with Balcony2 entire apartments•4 bedrooms•2 living rooms•4 bathrooms•2 kitchens6 beds (2 doubles, 2 extra-large doubles, 2 sofa beds)Free cancellation","5 nights, 10 adults","₹34,720","12,846"
503,Casa Euphoria Apartments,Calangute,7.1,Good,"1×Studio with BalconyEntire studio•1 bathroom•25m²3 beds (1 double, 2 futons)Free cancellationNo prepayment needed– pay at the property","5 nights, 10 adults","₹10,493","1,259"
504,Aveeno Resort near Calangute and Baga,Goa,7.3,Good,,"5 nights, 10 adults","₹28,684","3,442"
505,La Sea Vue Goa,Goa,9.3,Superb,1×Double Room with Garden View2 double bedsFree cancellation,"5 nights, 10 adults","₹37,000","4,440"
506,"Heritage Exotica Villa - 4BHK, Baga",Baga,8.3,Very good,,"5 nights, 10 adults","₹111,615",
507,Aarju Luxurious Stay Calangute,Calangute,8.5,Very good,"1×One-Bedroom ApartmentEntire apartment•1 bedroom•1 bathroom•1 kitchen•74m²3 beds (1 double, 2 futons)Free cancellation","5 nights, 10 adults","₹53,000","6,360"
508,"Antalya Villa - 5BHK with Private Pool, Baga",Baga,8.9,Fabulous,,"5 nights, 10 adults","₹160,617","28,911"
509,Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,"Anjuna Beach, Anjuna",7.0,,4×Cottage with Garden View4 entire bungalows•4 bedrooms•4 bathrooms4 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹39,180","4,702"
510,Susegad Suites Arpora Apartments & Villas with Reserved Parking,Arpora,9.0,Superb,"1×1BHK Apartment with BalconyEntire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•72m²2 beds (1 double, 1 sofa bed)Free cancellation","5 nights, 10 adults","₹54,000","6,480"
511,4BHK Private Pool villa in North Goa with Kayaking nearby!!,Moira,8.3,Very good,,"5 nights, 10 adults","₹45,000","8,100"
512,"La Vera Boutique Hotel, Mandrem",Mandrem,8.0,Very good,1×Superior Double Room1 double bedFree cancellation,"5 nights, 10 adults","₹34,677","4,161"
513,Arambol Bliss,Arambol,9.7,Exceptional,1×One-Bedroom Apartment with Garden ViewEntire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•65m²1 extra-large double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹33,875","4,065"
514,Hotel Sea Castle,Calangute,8.9,Fabulous,3×Junior Suite3 private suites3 extra-large double bedsFree cancellation,"5 nights, 10 adults","₹43,200","5,184"
515,Ekostay Gold- Salt Water Villa I Sea View I 200 meters from Beach,Candolim,7.8,Good,,"5 nights, 10 adults","₹107,640","19,375"
516,Villa Baywalk Goa - 200 meters from Morjim Beach,"Morjim Beach, Morjim",9.6,Exceptional,,"5 nights, 10 adults","₹82,950","14,931"
517,Lotus & Orchid Villas by Ramnath Homes,Sangolda,9.6,Exceptional,,"5 nights, 10 adults","₹107,500","19,350"
518,"Jungle Hut-Annabelle's Beach Apartments at Bernard Simao,Calangute,Goa",Candolim,9.0,Superb,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•2 bathrooms•1 kitchen•68m²2 double bedsFree cancellation,"5 nights, 10 adults","₹78,000","12,168"
519,De Alcazar Calangute,Calangute,6.4,,4×Executive Room4 large double bedsFree cancellation,"5 nights, 10 adults","₹28,006","3,361"
520,Ekostay - OCEAN CREST VILLA I 50 meters from Anjuna Beach,Vagator,7.4,Good,,"5 nights, 10 adults","₹41,652","7,497"
521,Vihaan Inn Guest House,Calangute,9.3,Superb,3×Deluxe Room3 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹15,783","1,894"
522,"Bliss By Stays, Calangute",Calangute,9.3,Superb,3×Executive Suite3 private suites3 extra-large double bedsFree cancellation,"5 nights, 10 adults","₹42,720","5,126"
523,Hill Top Luxury Villa - 3 BHK || Infinity Pool,Mapusa,7.6,Good,,"5 nights, 10 adults","₹130,912",
524,Ritchita Beach way Calangute,"Calangute Beach, Calangute",6.8,Review score,"1×Family Room with Balcony2 beds (1 extra-large double, 1 large double)Free cancellationNo prepayment needed– pay at the property","5 nights, 10 adults","₹25,290","3,035"
525,"VILLA M - SOLITUDE 1 CANDOLIM GOA 3BHK, Pool Facing, Near Beach, Free Breakfast, Free WIFI and Prime Location",Candolim,8.8,Fabulous,,"5 nights, 8 adults, 2 children","₹42,750","7,695"
526,"TATA Rio De Goa - Resort style apt,6 KM from Airport",Chicalim,7.1,Good,"2×Two-Bedroom Apartment2 entire apartments•6 bedrooms•2 living rooms•4 bathrooms•2 kitchens8 beds (4 doubles, 2 sofa beds, 2 futons)Free cancellation","5 nights, 8 adults, 2 children","₹45,360","6,643"
527,"Heritage Exotica Villa - 4BHK, Baga",Baga,8.3,Very good,,"5 nights, 8 adults, 2 children","₹106,553",
528,Susegad Suites Arpora Apartments & Villas with Reserved Parking,Arpora,9.0,Superb,"1×1BHK Apartment with BalconyEntire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•72m²2 beds (1 double, 1 sofa bed)Free cancellation","5 nights, 8 adults, 2 children","₹54,000","6,480"
529,Aarju Luxurious Stay Calangute,Calangute,8.5,Very good,"1×One-Bedroom ApartmentEntire apartment•1 bedroom•1 bathroom•1 kitchen•74m²3 beds (1 double, 2 futons)Free cancellation","5 nights, 8 adults, 2 children","₹55,200","6,624"
530,EKOSTAY Gold - Oasis Villa,Saligao,7.4,Good,,"5 nights, 8 adults, 2 children","₹63,648","11,457"
531,La Sea Vue Goa,Goa,9.3,Superb,2×Double Room with Garden View4 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 8 adults, 2 children","₹41,600","4,992"
532,Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,"Anjuna Beach, Anjuna",7.0,,5×Cottage with Garden View5 entire bungalows•5 bedrooms•5 bathrooms5 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 8 adults, 2 children","₹45,380","5,446"
533,Mistral Holidays Near Trinity Beach & Benaulim Beach,"Benaulim Beach, Benaulim",8.7,Fabulous,1×Small Double Room1 single bedFree cancellation,"5 nights, 8 adults, 2 children","₹31,150","3,738"
534,"Antalya Villa - 5BHK with Private Pool, Baga",Baga,8.9,Fabulous,,"5 nights, 8 adults, 2 children","₹160,617","28,911"
535,Lotus & Orchid Villas by Ramnath Homes,Sangolda,9.6,Exceptional,,"5 nights, 8 adults, 2 children","₹101,500","18,270"
536,Hill Top Luxury Villa - 3 BHK || Infinity Pool,Mapusa,7.6,Good,,"5 nights, 8 adults, 2 children","₹125,850",
537,Villa Baywalk Goa - 200 meters from Morjim Beach,"Morjim Beach, Morjim",9.6,Exceptional,,"5 nights, 8 adults, 2 children","₹82,950","14,931"
538,"Jungle Hut-Annabelle's Beach Apartments at Bernard Simao,Calangute,Goa",Candolim,9.0,Superb,,"5 nights, 8 adults, 2 children","₹85,500","15,390"
539,La Risa Estate,Vagator,7.8,Good,"1×LaRisa-Villa With An Alluring Private PoolEntire villa•2 bedrooms•1 living room•2 bathrooms•1 kitchen•144m²3 beds (2 doubles, 1 sofa bed)Free cancellation","5 nights, 8 adults, 2 children","₹131,744","23,714"
540,El Reino Apartments,Verem,8.7,Fabulous,"1×ElReino-Brand new 2BHK-10min Candolim beachEntire apartment•2 bedrooms•1 living room•2 bathrooms•1 kitchen•99m²3 beds (2 doubles, 1 sofa bed)Free cancellation","5 nights, 8 adults, 2 children","₹84,450","15,201"
541,Omkar wellness inn,Arambol,8.6,Fabulous,5×Queen Room with Balcony5 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 8 adults, 2 children","₹46,350","5,562"
542,Ocean Walk Apartments 2BHK,Calangute,6.2,Review score,,"5 nights, 8 adults, 2 children","₹8,076",969
543,BluO Amani Vagator - Boutique Hotel Goa,Anjuna,9.9,Exceptional,5×Standard King Room5 large double bedsFree cancellation,"5 nights, 8 adults, 2 children","₹84,700","10,164"
544,Luxury 3BHK Villa by BlueWave Hospitality,Candolim,9.9,Exceptional,,"5 nights, 8 adults, 2 children","₹40,750","7,335"
545,Lykke Suites- 2-min Drive to Colva Beach-By Goan Felicidade Hospitality PVT LTD,Colva,9.2,Superb,"1×Standard SuitePrivate suite•1 bedroom•1 living room•1 bathroom•30m²2 beds (1 extra-large double, 1 sofa bed)Free cancellation","5 nights, 8 adults, 2 children","₹65,249","7,830"
546,Siolim Suites,Siolim,9.5,Exceptional,"1×Superior SuitePrivate suite•1 bedroom•1 living room•1 bathroom•65m²2 beds (1 extra-large double, 1 sofa bed)Free cancellationNo prepayment needed– pay at the property","5 nights, 8 adults, 2 children","₹57,400","6,888"
547,Calangute Cosy 1 bhk Apartment,Calangute,9.3,Superb,"2×Apartment with Balcony2 entire apartments•2 bedrooms•2 living rooms•2 bathrooms•2 kitchens4 beds (2 extra-large doubles, 2 sofa beds)Free cancellation","5 nights, 8 adults, 2 children","₹19,990","2,399"
548,Aveeno Resort near Calangute and Baga,Goa,7.3,Good,,"5 nights, 8 adults, 2 children","₹26,771","3,213"
549,Rahul Service Apartment,Calangute,9.2,Superb,"2×Apartment2 entire apartments•4 bedrooms•2 living rooms•4 bathrooms•2 kitchens6 beds (4 extra-large doubles, 2 sofa beds)","5 nights, 8 adults, 2 children","₹32,320","3,878"
550,Ronnie's Studio Apartment,Arpora,7.4,Good,"2×Apartment with Balcony2 entire apartments•4 bedrooms•2 living rooms•4 bathrooms•2 kitchens6 beds (2 doubles, 2 extra-large doubles, 2 sofa beds)Free cancellation","5 nights, 6 adults, 4 children","₹22,931","8,485"
551,"TATA Rio De Goa - Resort style apt,6 KM from Airport",Chicalim,7.1,Good,"2×Two-Bedroom Apartment2 entire apartments•6 bedrooms•2 living rooms•4 bathrooms•2 kitchens8 beds (4 doubles, 2 sofa beds, 2 futons)Free cancellation","5 nights, 6 adults, 4 children","₹44,856","6,583"
552,La Sea Vue Goa,Goa,9.3,Superb,1×Double Room with Garden View2 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹32,800","3,936"
553,"Heritage Exotica Villa - 4BHK, Baga",Baga,8.3,Very good,,"5 nights, 6 adults, 4 children","₹101,490",
554,Mistral Holidays Near Trinity Beach & Benaulim Beach,"Benaulim Beach, Benaulim",8.7,Fabulous,1×Small Double Room1 single bedFree cancellation,"5 nights, 6 adults, 4 children","₹26,250","3,150"
555,Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,"Anjuna Beach, Anjuna",7.0,,4×Cottage with Garden View4 entire bungalows•4 bedrooms•4 bathrooms4 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹34,896","4,188"
556,Susegad Suites Arpora Apartments & Villas with Reserved Parking,Arpora,9.0,Superb,"1×1BHK Apartment with BalconyEntire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•72m²2 beds (1 double, 1 sofa bed)Free cancellation","5 nights, 6 adults, 4 children","₹54,000","6,480"
557,EKOSTAY Gold - Oasis Villa,Saligao,7.4,Good,,"5 nights, 6 adults, 4 children","₹59,904","10,783"
558,Aarju Luxurious Stay Calangute,Calangute,8.5,Very good,"1×One-Bedroom ApartmentEntire apartment•1 bedroom•1 bathroom•1 kitchen•74m²3 beds (1 double, 2 futons)Free cancellation","5 nights, 6 adults, 4 children","₹53,000","6,360"
559,Lotus & Orchid Villas by Ramnath Homes,Sangolda,9.6,Exceptional,,"5 nights, 6 adults, 4 children","₹92,500","16,650"
560,Villa Baywalk Goa - 200 meters from Morjim Beach,"Morjim Beach, Morjim",9.6,Exceptional,,"5 nights, 6 adults, 4 children","₹65,175","11,732"
561,"Antalya Villa - 5BHK with Private Pool, Baga",Baga,8.9,Fabulous,,"5 nights, 6 adults, 4 children","₹160,617","28,911"
562,"Jungle Hut-Annabelle's Beach Apartments at Bernard Simao,Calangute,Goa",Candolim,9.0,Superb,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•2 bathrooms•1 kitchen•68m²2 double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹78,000","12,168"
563,Hill Top Luxury Villa - 3 BHK || Infinity Pool,Mapusa,7.6,Good,,"5 nights, 6 adults, 4 children","₹120,787",
564,Hotel Sea Castle,Calangute,8.9,Fabulous,4×Junior Suite4 private suites4 extra-large double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹57,600","6,912"
565,Summit Calangute Resort & Spa,Calangute,7.2,Good,4×Deluxe Room With Private Balcony4 extra-large double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹49,044","5,885"
566,"Bliss By Stays, Calangute",Calangute,9.3,Superb,4×Executive Suite4 private suites4 extra-large double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹56,960","6,835"
567,Dimaru Boutique Hotel,Calangute,9.1,Superb,4×Junior Suite with Balcony4 private suites4 double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹65,200","7,824"
